token,n
csv,2327
cdf,1542
qc,1453
ru,893
smtfm02,750
smtfm10,680
nc,641
06,541
2016,488
data.csv,461
01,445
03,400
sonic,400
dspk,392
unflag.txt,392
daily.csv,391
2015,385
10,382
05,370
31,337
2019,327
2018,312
cnv,310
2017,306
txt,277
08,262
dat,260
scarfs2016,253
12,245
17,236
07,230
xtf,205
ctd,189
5,188
6,179
1,178
13,176
11,174
data,162
2014,158
scarfs2015,152
09,150
ice,136
cr3000,135
irr,135
gtr,134
jc,131
2013,124
lake,124
final,123
bathy,122
2,118
single.csv,116
nsidc.csv,115
temperature,115
skq201612s,109
16,108
04,107
toolik,107
mass,106
14,104
balance,104
meteorological,104
position,104
3,101
0,99
v1,89
2012,87
19,86
4,85
gris,84
1000,82
101,82
rcp,82
v3a,82
cadis.csv,79
7,78
15,77
barrow,76
rov1,74
imnavait,73
8,72
base,72
001,69
1703,68
17n,67
17o,67
2010,67
id,67
station,65
adc.csv,64
deep,63
atqasuk,62
30min,61
arctic,61
area.zip,61
hypsography.csv,61
interp.zip,61
perimeter.zip,61
points.zip,61
sonar,61
spots.zip,60
dcc,59
winter,56
1979,55
2009,55
a09,55
arcsees,55
orcutt,54
102,53
od1507,53
87,52
aon,52
d2019,52
26,51
30,51
m1,49
app,47
ctd.txt,47
suib,47
2011,46
table,46
dbo,44
bl,43
temperature.csv,43
iceberg,42
meltinfo.txt,42
96,40
itex,40
missing.csv,40
0002,39
0008,39
ctrl,39
line00,39
contours.zip,38
crevasse,38
line01,38
0009,37
sea,37
sizes,37
v2,37
bin,36
ic,36
line02,36
sbe37,35
uptempo,35
viper,35
zip,35
hr.tif,34
daily,33
skq201711s,33
dpen3,32
portrefugio,32
seasonal,32
soil,32
strdprctc,32
swk,32
transition,32
ts,32
brw,31
logger,31
mat,31
water,31
0007,30
18,30
eddy,30
0006,29
dem,29
strainrate,29
0020,28
10snw3,28
2007,28
85,28
depth,28
g1800m,28
line03,28
misp,28
portsantacruz,28
swl,28
tif,28
45,27
ca,27
coordinates.csv,27
fbf,27
final.dat,27
n2,27
report,27
0017,26
0019,26
25,26
a10,26
climate,26
peters,26
plant,26
0001,25
0003,25
0018,25
27,25
arcss,25
e1,25
flux,25
ortho,25
site,25
summer,25
0013,24
atq,24
calm,24
e5,24
e6,24
g900m,24
sbe56,24
thule2017,24
002,23
0022,23
contour.zip,23
portdelores,23
0021,22
95,22
asdn,22
bs3,22
ch4,22
dhs,22
imn,22
line04,22
spconductance.csv,22
0005,21
0011,21
0014,21
2008,21
21,21
9,21
avg.nc,21
fjord,21
jun,21
0010,20
0012,20
0015,20
0023,20
0025,20
2016datarpt,20
age,20
line05,20
tbl,20
thermistor,20
tr1,20
tr2,20
00,19
0024,19
2b,19
alaska,19
corrected,19
density.csv,19
fa16,19
oib.txt,19
sml,19
snow,19
summit,19
005,18
02,18
201118,18
23,18
airportsite,18
cyn,18
dates,18
dissoxy.csv,18
m3f,18
nasa,18
v73,18
wv.txt,18
1993,17
201,17
24,17
attribute,17
firn,17
monthly.nc,17
thaw,17
0016,16
1991,16
1992,16
2006,16
5b,16
a11,16
bzc,16
campsite,16
co2,16
colleen,16
core,16
dating,16
filecorrected.csv,16
flux.dat,16
ozone.csv,16
periods,16
scale.csv,16
scs,16
spectral.zip,16
www1202,16
www1204,16
zev,16
0004,15
0029,15
0037,15
1980,15
atmospheric,15
cloud,15
crop,15
dbo5,15
microphysical,15
migtk,15
observatories,15
properties,15
rmt,15
uaf,15
0035,14
014,14
103,14
2020,14
99,14
accumulation,14
bird.csv,14
coordinates,14
council2000,14
gapfilled,14
insect.csv,14
isa,14
isotopes,14
mammal.csv,14
metadata.csv,14
ongoing,14
output,14
siberia,14
temp.csv,14
transplant,14
utqiagvik,14
003,13
0034,13
0036,13
0049,13
0051,13
012,13
013,13
20,13
2005,13
22,13
401,13
ak,13
alexander,13
dissolved,13
flight,13
information,13
routes.zip,13
sedna,13
0045,12
2003,12
28,12
29,12
amf,12
basins,12
btl,12
consolidated,12
council1999,12
datalogger,12
esq,12
g18000m,12
hh,12
hrp,12
hvy,12
lakee5,12
m.tif,12
model,12
n83,12
raster.zip,12
shakan2m,12
smtaerich1x1,12
smtcapablx1,12
smtmplpolx1,12
smtpossx1,12
smtsodarx1,12
smtsondewnpnx1,12
soilmoisture,12
temp,12
u32,12
upper,12
v.txt,12
warm,12
wdk,12
xyz,12
0028,11
0030,11
0031,11
0033,11
004,11
0044,11
0046,11
006,11
069,11
1523,11
2000,11
20160408,11
202,11
4b,11
calon.csv,11
clean,11
concentrations.zip,11
esquibel,11
light.csv,11
list,11
met,11
mooring,11
north,11
records,11
rgb.tif,11
shakan,11
smtmmcrmomx1,11
smtmwrlosx1,11
t3,11
terrace,11
0027,10
0032,10
0038,10
010,10
016,10
038,10
14c,10
2002,10
20160413,10
bc,10
bf005,10
bf021,10
bis,10
bpr,10
burn,10
carlson,10
community,10
core16summittraverse1,10
database,10
elson,10
estimates,10
fa,10
fluxes,10
g12b,10
lower,10
metadata,10
pressure.csv,10
ros,10
s3,10
sizrs,10
slope,10
0026,9
0039,9
0042,9
0047,9
0053,9
007,9
025,9
026,9
028,9
031,9
039,9
093,9
1985,9
1x5,9
20160427,9
98,9
a1,9
ans,9
bay,9
bes,9
biomass,9
chukchi,9
compaction,9
core8b,9
diffdem.tif,9
ecl,9
final.txt,9
hourly,9
ions.csv,9
isotope,9
ko,9
laketimeseries,9
line06,9
mcat,9
ntrl,9
obs.nc,9
personnel,9
petermannglacier,9
releve,9
respiration.csv,9
rho,9
sbe37sm,9
slwc,9
smtvceil25kx1,9
surface.nc,9
t2,9
tutakoke,9
u31,9
u74,9
www1104,9
000000,8
0040,8
0041,8
0043,8
0052,8
011,8
015,8
032,8
033,8
036,8
075,8
115,8
2001,8
201209,8
20160326,8
20160327,8
20160328,8
20160329,8
20160330,8
20160331,8
20160401,8
20160402,8
20160403,8
20160404,8
20160405,8
20160406,8
20160407,8
20160409,8
20160410,8
20160411,8
20160412,8
20160414,8
20160415,8
20160416,8
20160417,8
20160418,8
20160419,8
20160420,8
20160421,8
20160422,8
20160423,8
20160424,8
20160425,8
20160426,8
20160428,8
20160429,8
20160430,8
20160501,8
20160502,8
20160503,8
20160504,8
20160505,8
20160506,8
20160507,8
20160509,8
20160510,8
20160511,8
20160512,8
20160513,8
20160514,8
2044,8
301,8
6hw,8
apr,8
b1,8
badgeley,8
bf013,8
bp,8
buoy,8
carbon,8
cesm2,8
chs,8
core10spurw,8
core13core14traverse,8
core8a,8
counts,8
dbo4,8
density,8
dimple,8
discharge,8
do.csv,8
dp.csv,8
e2,8
e4,8
eager,8
eml,8
etal,8
flux.csv,8
fog1,8
fog2,8
fog3,8
fog4,8
fog5,8
format,8
gen3ens,8
glk,8
golden,8
gp8,8
greencabin,8
greenland,8
gth101,8
gth110,8
gth153,8
gth155,8
gth156,8
gth157,8
gth158,8
gth39,8
gth58,8
gth59,8
gth60,8
gth61,8
gth62,8
gth85,8
gth86,8
gth88,8
gth90,8
gth91,8
gth98,8
healy,8
hills,8
hly,8
horn,8
island,8
ivotuk1998,8
luna,8
minus,8
n1,8
ndvi,8
ne14,8
northamerica,8
perched,8
pond,8
precipitation,8
profiler,8
qc.txt,8
readme.txt,8
reciprocal,8
s6,8
sapflow,8
shrub,8
snc01,8
south,8
species,8
sum,8
surface,8
swamp,8
tfs,8
tree,8
tsp,8
u22,8
u23,8
u24,8
u25,8
u26,8
u27,8
u28,8
uas,8
v3,8
ver1,8
waccm,8
wolverine,8
xlsx,8
150705,7
170428,7
1986,7
1997,7
2100,7
5p15,7
air,7
al,7
alaska.csv,7
bf009,7
ch,7
core11spure,7
core12spurw,7
core15core16traverse,7
cover,7
cr1000,7
current,7
dbo3,7
detailed,7
figure,7
hth,7
icetemp.txt,7
intensive,7
isotopes.csv,7
ji,7
leaf,7
lgd,7
mb,7
microclimate,7
mmwatch,7
mn,7
mob,7
ne12,7
nh1,7
no3,7
npeo,7
o3,7
organic,7
po4,7
pr,7
prcp,7
regimes,7
river,7
samples,7
sc1,7
se,7
sediment,7
seedpredator,7
sf014,7
si,7
simplified,7
subset,7
t5,7
tfw,7
tif.aux.xml,7
tif.ovr,7
u30,7
u88,7
wt1,7
www1002,7
www1003,7
www1102,7
zi,7
08nsidc.csv,6
112,6
116,6
156,6
1984,6
1987,6
1988,6
1990,6
1999,6
2016jschedlbauer,6
22nov2013,6
234,6
94,6
a.csv,6
ablation,6
activelayer,6
aln,6
amundsen,6
analysis,6
aon.txt,6
b.csv,6
bc2,6
bf017,6
borehole,6
bottle,6
bro,6
brwdoas,6
canada,6
center,6
clpx,6
column,6
core11spurw,6
core12core13traverse,6
core13spurw,6
core14core15traverse,6
core14spurw,6
core15spurw1,6
core16spurw,6
core7core8traverse,6
core7survey,6
core8c1,6
core8spure,6
core9spiral,6
cp1,6
dengrad,6
dye,6
edge.tif,6
eureka,6
fac10,6
firnair,6
g3600m,6
g4500m,6
gcm.csv,6
gisp2d,6
green.tif,6
hv,6
ib,6
ivo,6
l1,6
l129,6
l3,6
l520,6
l56,6
level,6
lhs,6
line07,6
locations,6
ludwig,6
lut,6
manta,6
mar.tif,6
melt,6
meteo,6
ndvi.tif,6
nir.tif,6
niso,6
nitrogen,6
nmm3d,6
olm,6
phenology,6
rate,6
red,6
red.tif,6
saddle,6
sag,6
sc2,6
scenario,6
seaice.dat,6
sf009,6
shear.nc,6
sia,6
sitesroster.csv,6
slugtests.csv,6
southdome,6
thule,6
tk,6
tunu,6
u29,6
u34,6
u41,6
u60,6
u69,6
uff,6
underway,6
uppercapsulelake,6
us78,6
v20171130,6
0048,5
0050,5
0054,5
017,5
12june,5
160419,5
164,5
1983,5
1989,5
1998,5
2004,5
2007c,5
2007g,5
2008c,5
2081,5
2ky.txt,5
31aug,5
3b,5
50cm,5
50cm.tif,5
90roll3,5
adcp,5
adcp300,5
aquifertest1,5
bc1,5
bird,5
c1,5
canopy,5
cesm,5
continuous,5
copy,5
core10core11traverse,5
core9core10traverse2,5
czimczik,5
d18o,5
dbo6,5
depth.csv,5
dischargeandratingcurve.csv,5
drp,5
envirodata.csv,5
ethane.txt,5
ethaneacetylene,5
export.txt,5
fa15,5
fl005m,5
fl008m,5
fl013m,5
fl016m,5
fl017m,5
fl020m,5
fox,5
gases,5
gkn,5
gps,5
heath,5
keku,5
kzr,5
l280,5
lakefog2,5
length,5
low,5
lr,5
miniflux,5
nh2,5
o2ar.txt,5
o2calc,5
petermanniceshelf,5
pg16,5
phs,5
physchem,5
polaris,5
pred,5
profile.csv,5
root,5
scarfs,5
sedimentparameters.csv,5
snc03,5
snc04,5
soda,5
soiltemp,5
stratigraphy,5
sumup,5
t4,5
tas,5
taxa.csv,5
tcm,5
temperatures,5
thetao,5
total,5
treeline,5
u39,5
u40,5
us77,5
wt2,5
www1005,5
0021a,4
0055,4
0057,4
009,4
024,4
053,4
05301,4
05401,4
05501,4
056,4
05601,4
05701,4
05801,4
05901,4
06001,4
06101,4
06201,4
067,4
068,4
070,4
096,4
098,4
125,4
12juneaug,4
135,4
150423,4
1970,4
1974,4
1b,4
2000a,4
2000b,4
2001a,4
2002a,4
2003a,4
2003b,4
2003c,4
2003d,4
2003e,4
2004a,4
2004b,4
2004c,4
2004d,4
2004e,4
2005a,4
2005b,4
2005c,4
2005d,4
2005e,4
2005f,4
2006b,4
2006c,4
2006d,4
2006e,4
2006f,4
20072008,4
2007b,4
2007d,4
2007e,4
2007f,4
2007h,4
2007i,4
2007j,4
2007k,4
2008a,4
2008b,4
2008d,4
2008e,4
2008f,4
2009a,4
2009d,4
2009e,4
2009f,4
2009g,4
2010a,4
2010b,4
2010c,4
2010f,4
2010g,4
2010h,4
2011a,4
2011b,4
2011c,4
2011d,4
2011e,4
2011f,4
2011g,4
2011i,4
2011j,4
2011k,4
2011l,4
2011m,4
2012a,4
2012amkspiderwarmingexperiment,4
2012b,4
2012c,4
2012d,4
2012e,4
2012f,4
2012g,4
2012h,4
2012i,4
2012j,4
2012l,4
2012m,4
2013a,4
2013b,4
2013c,4
2013d,4
2013e,4
2013f,4
2013g,4
2013h,4
2013i,4
2014b,4
2014c,4
2014d,4
2014e,4
2014f,4
2014g,4
2014i,4
2015a,4
2015b,4
2015c,4
2015d,4
2015e,4
2015f,4
2015g,4
2015h,4
2015i,4
2015j,4
2015k,4
2016a,4
20170510xx00a,4
20170511xx00a,4
20170512xx00a,4
20170513xx00a,4
20170514xx00a,4
20170515xx00a,4
20170516xx00a,4
20170517xx00a,4
20170523xx00a,4
20170524xx00a,4
20170525xx00a,4
20170526xx00a,4
20170527xx00a,4
20170531xx00a,4
20170601xx00a,4
20170602xx00a,4
20170603xx00a,4
20170604xx00a,4
20170606xx00a,4
20170607xx00a,4
20170608xx00a,4
20170609xx00a,4
20170610xx00a,4
20170611xx00a,4
20170612xx00a,4
20170613xx00a,4
20170614xx00a,4
20170615xx00a,4
20170616xx00a,4
20170617xx00a,4
26904,4
26906,4
302,4
71roll1,4
72roll1,4
84roll1,4
88roll1,4
90roll1,4
90roll2,4
91roll2,4
91roll3,4
91roll4,4
92roll1,4
92roll2,4
92roll4,4
92roll5,4
94roll4,4
94roll6,4
95roll3,4
96roll1,4
97roll1,4
97roll2,4
a2,4
aci,4
acoustic,4
active,4
alex,4
aliss,4
ann,4
aquifertest2,4
arenacover,4
assimilated.csv,4
bcc,4
bec,4
ben,4
beo,4
bhs,4
biomass.csv,4
blk,4
bsp,4
cburn,4
cfore,4
cft,4
chemistry,4
clm40,4
cmdl,4
cnrm,4
cns,4
cnsqc,4
concentrations,4
core10spure,4
core13spure,4
core8c2,4
core8core9traverse,4
core9spurw,4
counts.csv,4
cover.csv,4
cpt,4
cshrb,4
ctund,4
d.csv,4
data.txt,4
debris,4
dec,4
doppler,4
duck,4
enviro,4
esm2,4
exburn,4
exp,4
experiment,4
files,4
fishcreek,4
forams.csv,4
fv2,4
fw,4
gal.csv,4
geochemistry.csv,4
goni,4
gpr,4
historical,4
hobo,4
ict,4
imn.csv,4
incubation,4
iva,4
ja,4
je,4
jois,4
jpc6,4
kap,4
kling,4
ktk,4
kuparuk,4
lav,4
le,4
lowertr1,4
macroinfaunal,4
magnetic,4
manual.csv,4
mclane,4
meierbachtol,4
microcat,4
middletr1,4
mirai,4
model.csv,4
moored,4
ms,4
nests.csv,4
node1,4
node2,4
nom,4
noresm2,4
nutrient,4
o2ar,4
o2isotope,4
p0001,4
p23,4
parameters.csv,4
pc04,4
percent,4
ph,4
ptrefugio50cm1,4
raw,4
raw.csv,4
reformatted.csv,4
region,4
revised.csv,4
riparian,4
rtk,4
sancruz50cm1,4
sap,4
sat,4
sed,4
sikuliaq,4
site1,4
site10,4
site2,4
site3,4
site4,4
site5,4
site6,4
site7,4
site8,4
site9,4
sitelake,4
snc02,4
soils.csv,4
sol,4
sppdata.csv,4
st12,4
statistics,4
study,4
super,4
susceptibility.csv,4
swe,4
table1,4
taku,4
td,4
teshekpuk,4
tkhydrodatabase,4
tlk,4
tooliklake,4
u38,4
u56,4
uppertr1,4
us22,4
us23,4
us24,4
us25,4
us26,4
us27,4
us28,4
us29,4
us34,4
us37,4
us39,4
waypoints,4
wb,4
weintraub,4
wx2,4
yukon,4
0056,3
0062,3
008,3
018,3
019,3
020,3
021,3
022,3
027,3
029,3
030,3
037,3
040,3
041,3
042,3
043,3
044,3
045,3
046,3
047,3
048,3
049,3
050,3
051,3
052,3
054,3
055,3
057,3
058,3
059,3
060,3
061,3
062,3
063,3
064,3
065,3
066,3
071,3
072,3
073,3
074,3
081,3
082,3
084,3
085,3
086,3
087,3
107,3
120216,3
170903,3
192,3
1953,3
1962,3
1971,3
1972,3
1973,3
1975,3
1976,3
1977,3
1978,3
1981,3
1994,3
1995,3
1996,3
20110411,3
20140630,3
20141231,3
20151231,3
20161231,3
20181008,3
2019ss,3
33km,3
501,3
63,3
70roll1,3
70roll2,3
71roll3,3
72roll2,3
72roll4,3
73roll1,3
73roll2,3
73roll3,3
74roll1,3
74roll2,3
74roll3,3
74roll4,3
74roll5,3
75roll1,3
75roll3,3
76roll1,3
77roll1,3
77roll2,3
77roll3,3
77roll4,3
77roll5,3
77roll6,3
78roll1,3
78roll2,3
78roll3,3
78roll4,3
78roll5,3
79roll1,3
79roll2,3
79roll3,3
79roll4,3
79roll5,3
79roll6,3
80roll1,3
80roll2,3
80roll3,3
81roll1,3
81roll2,3
86roll1,3
87roll1,3
92roll3,3
93roll1,3
93roll3,3
93roll4,3
94roll1,3
94roll2,3
94roll3,3
94roll5,3
95roll1,3
95roll2,3
a1.20110101.000000,3
a1.20120101.000000,3
acids.csv,3
acomm,3
adcp75,3
agashashok,3
alignment.csv,3
allleaves,3
alongfjordstudy.nc,3
araon,3
archive,3
arcticdatacenter.csv,3
asr2,3
august2015,3
baffin,3
basal,3
base.txt,3
bg1516,3
bg1617,3
bg1718,3
birch,3
boreholedilution.csv,3
bw,3
c14,3
calib,3
camp,3
campos,3
canopy.csv,3
cas,3
catchment,3
cfsr,3
cmp,3
cnvqc,3
colorregions,3
conductivity.csv,3
connectivity,3
core1,3
core10spiral,3
core11core12traverse,3
core11spiral,3
core12spure,3
core15spiral,3
core16spiral,3
core16summittraverse2,3
core2,3
core8spurw,3
core9core10traverse1,3
core9spure,3
corr.csv,3
countsummary.csv,3
creek,3
cwd,3
datecut.csv,3
dboregionscolor,3
depths.csv,3
df003,3
dhw,3
druffel,3
dtlb,3
ec,3
ecosystem,3
enspctl16,3
enspctl5,3
enspctl50,3
enspctl84,3
enspctl95,3
era5,3
erai,3
expburn,3
experimental,3
ext,3
extensive,3
fcw,3
federov,3
finedead,3
finelive,3
fiord,3
foliar,3
frost,3
g600m,3
g9000m,3
gdb.rar,3
gisp2b,3
glacier,3
gr,3
gro,3
growth,3
gt125,3
height,3
hi.nc,3
hour,3
imnaviat,3
inigok,3
jra55,3
khromov,3
kotzebue,3
kup,3
kzb,3
lai,3
laser,3
lemming,3
lomo09,3
marshall,3
measurements,3
merged.csv,3
merra,3
met.csv,3
meteo.csv,3
mjolnir,3
mmwatchdata,3
moisture,3
mossdimensions.csv,3
mt.txt,3
nabos,3
negis,3
nicegain,3
nicelose,3
nl,3
noaa.rwl,3
northern,3
nsf.csv,3
nsfadc,3
oa3,3
occasional,3
oksgain,3
okslose,3
os,3
oxygen,3
pamir,3
passive,3
plot,3
pumpwell,3
r1,3
radar,3
radiation,3
rates,3
rbr,3
recap,3
recruit,3
regions.csv,3
reindeer,3
res,3
results.csv,3
rev01,3
ru13,3
runoff,3
rusalca,3
s1,3
sampling,3
scass,3
sf6,3
shapefile.zip,3
shorebird,3
simplified.csv,3
smtceilx1,3
snowdata.csv,3
snowdata.xlsx,3
snowpack,3
spatial,3
ss,3
stable,3
stations.csv,3
stem,3
stninfo,3
suicide,3
suna,3
survey,3
surveys.csv,3
tables,3
tdr,3
tedesco,3
temperatures.csv,3
tes,3
time,3
tndr.txt,3
totals.csv,3
u33,3
u37,3
u43,3
u49,3
u50,3
u61,3
u68,3
uci,3
understory.csv,3
us30,3
us33,3
us38,3
us40,3
us42,3
us60,3
usgs,3
vapor,3
wain,3
water.csv,3
weather,3
wgs84,3
woody,3
wtd,3
wx1,3
xlinebb,3
xliner,3
yd,3
000100,2
0058,2
0059,2
0060,2
0061,2
0063,2
0064,2
0065,2
023,2
034,2
035,2
05301avg.cnv,2
05401avg.cnv,2
05501avg.cnv,2
05601avg.cnv,2
05701avg.cnv,2
05801avg.cnv,2
05901avg.cnv,2
06001avg.cnv,2
06101avg.cnv,2
0617,2
076,2
077,2
078,2
079,2
080,2
083,2
088,2
089,2
090,2
091,2
0918,2
092,2
094,2
095,2
097,2
099,2
09snw3,2
100,2
121418,2
12snw3,2
150731,2
160805,2
17core15spurw2,2
190723,2
190730,2
190802,2
190810,2
1961,2
1964,2
1967,2
1968,2
1969,2
1982,2
1min.csv,2
20080302,2
20110406,2
20110608,2
20110629.000000,2
20120426,2
20120524,2
20120524.000000,2
20120525,2
20120526,2
20120527.000000,2
20120527022,2
20120529,2
20120529.000000,2
20120530.000000,2
20120531.000000,2
20120601.000000,2
20120602.000000,2
20120606.000000,2
20120607.000000,2
20120608.000000,2
20120609.000000,2
20120610.000000,2
20120611.000000,2
20120612.000000,2
20120613.000000,2
20120614.000000,2
20120615.000000,2
20120616.000000,2
20120617.000000,2
20120618.000000,2
20120619.000000,2
20120620.000000,2
20120621.000000,2
20120626.000000,2
20120627.000000,2
20120630.000000,2
20120703.000000,2
20120704.000000,2
20120706.000000,2
20120707.000000,2
20120708.000000,2
20120709.000000,2
20120710.000000,2
20120711.000000,2
20120712.000000,2
20120713.000000,2
20120714.000000,2
20120715.000000,2
20120716.000000,2
20120719.000000,2
20120720.000000,2
20120721.000000,2
20120722.000000,2
20120725.000000,2
20120726.000000,2
20120727.000000,2
20120728.000000,2
20120729.000000,2
20120730.000000,2
20120731.000000,2
20120801.000000,2
20120802.000000,2
20120803.000000,2
20120804.000000,2
20130212.000000,2
20130213.000000,2
20130214.000000,2
20130215.000000,2
20130220.000000,2
20130221.000000,2
20130222.000000,2
20130223.000000,2
20130225.000000,2
20130226.000000,2
20130228.000000,2
20130301.000000,2
20130302.000000,2
20130303.000000,2
20130315.000000,2
20130317.000000,2
20130326.000001,2
20130327.000000,2
20130329.000000,2
20130331.000000,2
20130401.000000,2
20130402.000000,2
20130403.000000,2
20130408.000000,2
20130409.000000,2
20130414.000000,2
20130417.000000,2
20130418.000000,2
20130420.000000,2
20130422.000000,2
20130426.000000,2
20130428.000000,2
20130429.000000,2
20130430,2
20130430.000000,2
20130501.000000,2
20130502.000000,2
20130504.000000,2
20130505.000000,2
20130506.000000,2
20130507.000000,2
20130509.000000,2
20130512,2
20130518.000000,2
20130519.000000,2
20130520.142835,2
20130521.000000,2
20130522.000000,2
20130524.000000,2
20130525.000000,2
20130526.000000,2
20130527.000000,2
20130528.022025,2
20130529.000000,2
20130605,2
20130609.000001,2
20130614.000000,2
20130619.000000,2
20130620.000000,2
20130622,2
20130624.000000,2
20130625.000000,2
20130626.000000,2
20130627.000000,2
20130630.000000,2
20130701.000000,2
20130702.000000,2
20130703.000000,2
20130704.000000,2
20130705.000000,2
20130706.000000,2
20130707,2
